num_evaluations,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
557,,1072.3313059405036,603.605142039462,609.8898573729425,604.5220200591812,,,,,,,,
560,,1070.1640703575279,603.5922877407869,609.8000544891019,604.0731471532388,,,,,,,,
561,598.8435259171587,,,,,,,,,,,,
564,,1061.4291822389675,603.5751486758871,609.6803173106476,603.4746499453153,,,,,,,,
566,,1057.0617381796865,603.566579143437,609.631207873573,603.1754013413537,,,,,,,,
568,,1052.6942941204068,603.5580096109873,609.5820984364988,602.9106812313574,,,,,,,,
572,598.7438221623021,,,,,,,,,,,,
575,,1037.4082399129259,603.5196954733187,609.410215406738,601.9841608463707,,,,,,,,
577,,1033.0407958536455,603.5087485768422,609.3820091918366,601.7194407363744,,,,,,,,
579,,1028.673351794365,603.4978016803653,609.3538029769352,601.4144785951,,,,,,,,
583,598.6905515566023,,,,,,,,,,,,
586,,1013.3872975868838,603.4726467722019,609.255081224781,600.3471111006393,,,,,,,,
588,,1009.0198535276037,603.4654596555836,609.222326624754,600.0421489593646,,,,,,,,
590,,1004.6524094683236,603.4582725389655,609.1895720247273,599.7093494352637,,,,,,,,
594,598.6617632154018,,,,,,,,,,,,
597,,989.3663552608424,603.43088350745,609.0749309246337,598.5445511009107,,,,,,,,
599,,984.9989112015626,603.4230580698741,609.0475509254594,598.2117515768093,,,,,,,,
600,,982.8151891719223,603.4191453510862,609.0338609258721,598.1201933778749,,,,,,,,
601,,981.2523382056798,603.4152326322984,609.0201709262847,598.0286351789404,,,,,,,,
605,598.6167827098966,,,,,,,,,,,,
608,,970.3123814419852,603.3933326047176,608.9243409291732,597.3877277863991,,,,,,,,
610,,967.1866795095012,603.3870754539802,608.8900996934307,597.2046113885303,,,,,,,,
612,,964.0609775770171,603.3808183032429,608.8558584576882,597.0390568003072,,,,,,,,
616,598.5745088209375,,,,,,,,,,,,
619,,953.1210208133227,603.3579654495026,608.7360141325889,596.4596157415264,,,,,,,,
