,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
5244,,358490135.9985839,9358.153205086895,17042.74888291278,776074029.5173581,,,,,,,,
5248,,358335038.1752651,9322.556170869957,16930.431598603554,764150528.5564362,,,,,,,,
5252,6700.627066939644,,,,,,,,,,,,
5325,,355349405.0763776,8637.349676278973,14768.323875651115,534623135.05868745,,,,,,,,
5345,,354573915.9597834,8459.373963398195,14206.737454105034,490575986.3059199,,,,,,,,
5349,,354418818.1364646,8423.778820822043,14104.658586292535,481766556.55536634,,,,,,,,
5353,5991.524666665907,,,,,,,,,,,,
5426,,351433185.037577,7735.678903577359,12139.640380902014,312185033.85721135,,,,,,,,
5446,,350657695.9209829,7556.951652344969,11629.246041839544,282181496.5857987,,,,,,,,
5450,,350502598.09766406,7521.206202098496,11554.69471897475,276180789.1315162,,,,,,,,
5454,5336.298839092718,,,,,,,,,,,,
5527,,347516964.99877656,6928.081959220845,10119.581753827542,160667170.63657746,,,,,,,,
5547,,346741475.88218236,6774.023714317561,9746.82513950359,144092057.9890004,,,,,,,,
5551,,346586378.0588635,6743.212065336907,9707.51544633078,140777035.45948502,,,,,,,,
5555,4914.424287319283,,,,,,,,,,,,
5600,,344686429.72320783,6426.413503953381,9225.971704963791,100168009.47292128,,,,,,,,
5628,,342611193.35331863,6245.385754591367,8950.803852754081,76962851.76631339,,,,,,,,
5648,,341128881.66054064,6116.080219332786,8754.255386890005,68474061.8590474,,,,,,,,
5652,,340832419.32198507,6090.219112281071,8704.07195908745,66776303.87759419,,,,,,,,
5656,4583.17735281351,,,,,,,,,,,,
5729,,335125519.3047898,5669.50795708805,7738.040973888198,34094462.73462011,,,,,,,,
5749,,333643207.6120118,5560.232332362589,7487.123834875404,30646430.300279446,,,,,,,,
5753,,333346745.2734562,5538.377207417498,7469.993505349253,29956823.813411318,,,,,,,,
5757,4391.1843613116835,,,,,,,,,,,,
5830,,327639845.256261,5202.093545624936,7140.234661970736,16681898.941199757,,,,,,,,
5850,,326157533.563483,5114.747139964529,7054.5830143399535,15133963.445207871,,,,,,,,
5854,,325861071.2249274,5097.277858832448,7040.178783597901,14824376.346009493,,,,,,,,
5858,4256.9020251603415,,,,,,,,,,,,
5931,,320154171.20773214,4890.785808650322,6762.897341813307,8864824.686440725,,,,,,,,
5951,,318671859.51495415,4837.151509901715,6690.876188103025,8139048.144198263,,,,,,,,
5955,,318375397.1763985,4826.424650151994,6675.676894669782,7993892.8357497705,,,,,,,,
5959,4122.053110213068,,,,,,,,,,,,
6000,,315040195.86764807,4726.1372800644,6504.68484354583,6360895.615704227,,,,,,,,
6032,,314306166.13847333,4654.821816891003,6383.09049607991,5199653.148116285,,,,,,,,
6052,,313847397.5577391,4610.249652407628,6307.09402891371,4670805.587931568,,,,,,,,
6056,,313755643.8415923,4601.335219510953,6291.71015134351,4565036.075894624,,,,,,,,
6060,3991.1022136142446,,,,,,,,,,,,
6133,,311989384.80576557,4435.9622311290395,5995.570508117171,2528972.96918346,,,,,,,,
6153,,311530616.2250314,4393.008208172698,5918.651120266174,2295023.1319955243,,,,,,,,
6157,,311438862.50888455,4384.41740358143,5900.795429341154,2248233.1645579366,,,,,,,,
6161,3864.73051448019,,,,,,,,,,,,
6234,,309672603.4730578,4227.36985533866,5557.0733790344975,1347526.2913843833,,,,,,,,
6254,,309213834.8923237,4186.578284366513,5467.794924409395,1201819.0081908847,,,,,,,,
6258,,309122081.1761768,4178.419970172083,5449.088397409391,1172677.551552185,,,,,,,,
6262,3764.574825812262,,,,,,,,,,,,
6335,,307355822.1403501,4056.3557358344387,5088.987752659339,611704.5112572141,,,,,,,,
6355,,306897053.55961585,4024.650739902583,4995.455117659326,559966.5390528128,,,,,,,,
6359,,306805299.843469,4018.3097407162136,4985.221117325134,549618.9446119325,,,,,,,,
6363,3660.3424398437805,,,,,,,,,,,,
6400,,305864824.2529639,3963.719906863769,4880.322613899663,443556.1015929093,,,,,,,,
6436,,304264742.99369746,3915.787369822599,4788.216610891931,350427.7516249869,,,,,,,,
6456,,303375808.9607717,3889.1581825775042,4737.046609220971,315654.63441346854,,,,,,,,
6460,,303198022.1541865,3883.8323451284837,4727.475649685895,308700.01097116485,,,,,,,,
6464,3559.787529355033,,,,,,,,,,,,
6537,,299775626.1274223,3806.302939433598,4543.234678635681,174823.5097068193,,,,,,,,
